Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2014-07-17T15:37:00Z,40.4314,-122.750788,0,517,-3,0.18,51,0.06,262.4,7.5,33.7,1
2014-07-18T15:37:00Z,40.4314,-122.750788,0,517,-3,0,58.3,0.064,274.6,8,32.4,1
2014-07-19T15:37:00Z,40.4314,-122.750788,0,517,-3,0,47.3,0.065,273.7,7.4,31.8,1
2014-07-20T15:37:00Z,40.4314,-122.750788,0,517,-3,0,46.8,0.069,262.3,8.8,34.3,1
2014-07-21T15:37:00Z,40.4314,-122.750788,0,517,-3,1.38,68.6,0.077,262.6,8.8,29.8,1
2014-07-22T15:37:00Z,40.4314,-122.750788,0,517,-4,2.52,69.5,0.074,270.6,8.7,24.7,1
2014-07-23T15:37:00Z,40.4314,-122.750788,0,517,-4,1.17,65.7,0.083,253.2,10.9,26.1,1
2014-07-24T15:37:00Z,40.4314,-122.750788,0,517,-4,0,47.9,0.083,289.7,15,25.8,1
2014-07-25T15:37:00Z,40.4314,-122.750788,0,517,-4,0,32.2,0.079,284.9,11.4,30.8,1
2014-07-26T15:37:00Z,40.4314,-122.750788,0,517,-4,0,33.9,0.077,276.5,10.3,32.8,1
