Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2019-01-06T00:00:00Z,37.7,-119.2,1,3526,-4,0.83,96.7,0.07,10.2,48.3,-4.8,0
2016-10-12T00:00:00Z,38,-120.1,0,1461,-4,0,49.2,0.011,197.4,17.2,16.1,0
2019-07-21T00:00:00Z,39.8,-122.7,0,1371,-3,0,37.3,0.083,468.8,8,22.3,0
2014-08-14T00:00:00Z,37.3,-120,0,337,-3,0,20.7,0.093,386.1,15,31.7,0
2019-10-10T00:00:00Z,41.1,-121.7,0,1322,-4,0,18,0.501,253,30.3,18.9,0
2014-07-13T00:00:00Z,36.3,-118.6,0,2938,-4,0,45.3,0.112,430.7,8.7,14.5,0
2020-10-12T00:00:00Z,37.8,-120.5,0,355,-4,0,32.6,0,200.8,22.1,23.1,0
2015-12-19T00:00:00Z,36.2,-120.9,0,417,-2,0,44,0.211,95.6,5.7,12.3,0
2021-03-20T00:00:00Z,38.2,-120.2,1,1455,4,8.53,100,1.407,30.6,24.3,5.3,0
2014-10-06T00:00:00Z,38.9,-120.3,0,2030,-4,0,22.3,0.435,234.1,11.7,20.7,0
2019-06-19T00:00:00Z,36.9,-119.5,0,226,1,0,27,0.566,359.1,11.4,34.3,0
2015-04-18T00:00:00Z,38.4,-121.2,0,41,-1,0,22.1,0.215,390.3,10.2,25,0
2014-09-19T00:00:00Z,37.3,-121,0,26,-4,0,35.4,0.058,282.2,17.9,30.4,0
2015-05-01T00:00:00Z,39.6,-121.8,0,38,-2,0,14.5,0.117,386.8,24,30.2,0
2018-08-04T00:00:00Z,36.1,-121,0,111,-3,0,9,0.131,427.9,16.6,36.3,0
2021-07-17T00:00:00Z,37.5,-119.3,0,2177,-1,0,19.1,0.143,444.7,14.3,20,0
2014-12-17T00:00:00Z,41.9,-120.9,0,1470,2,1.77,84.3,1.155,17.3,26.6,1.2,0
2015-08-22T00:00:00Z,38.9,-121.9,0,3,-4,0,26.9,0,387.8,12.4,32.1,0
2014-07-12T00:00:00Z,41.9,-119.5,0,1750,-2,0.78,26.2,0.14,332.2,13.8,26.4,0
2014-03-23T00:00:00Z,41.6,-121.7,0,1825,3,0,24.1,0.845,391.8,16.3,7.8,0
2020-12-22T00:00:00Z,38.8,-121.6,1,3,-4,0,90.1,0.46,104.9,5.7,11,0
